-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.035,  0.148
-183.800, 80.197, 0.035,  0.181
-183.800, 80.196, 0.040,  0.214
-183.800, 80.192, 0.128,  0.247
-183.800, 80.185, 0.222,  0.280
-183.800, 80.175, 0.309,  0.313
-183.800, 80.160, 0.455,  0.346
-183.799, 80.141, 0.582,  0.379
-183.798, 80.114, 0.808,  0.412
-183.799, 80.081, 1.019,  0.445
-183.800, 80.040, 1.235,  0.478
-183.799, 79.993, 1.424,  0.511
-183.795, 79.942, 1.535,  0.544
-183.794, 79.889, 1.601,  0.577
-183.796, 79.834, 1.647,  0.610
-183.796, 79.780, 1.654,  0.643
-183.793, 79.726, 1.641,  0.676
-183.791, 79.672, 1.620,  0.709
-183.791, 79.620, 1.585,  0.742
-183.792, 79.569, 1.555,  0.775
-183.792, 79.518, 1.541,  0.808
-183.788, 79.468, 1.537,  0.841
-183.786, 79.417, 1.557,  0.874
-183.788, 79.365, 1.572,  0.907
-183.788, 79.312, 1.591,  0.940
-183.786, 79.259, 1.598,  0.973
-183.783, 79.206, 1.607,  1.006
-183.782, 79.152, 1.614,  1.039
-183.784, 79.099, 1.617,  1.072
-183.783, 79.045, 1.622,  1.105
-183.780, 78.991, 1.620,  1.138
-183.778, 78.937, 1.632,  1.171
-183.779, 78.882, 1.635,  1.204
-183.780, 78.828, 1.645,  1.237
-183.777, 78.773, 1.648,  1.270
-183.774, 78.718, 1.654,  1.303
-183.774, 78.663, 1.660,  1.336
-183.776, 78.607, 1.663,  1.369
-183.775, 78.552, 1.670,  1.402
-183.772, 78.496, 1.670,  1.435
-183.770, 78.440, 1.682,  1.468
-183.771, 78.384, 1.685,  1.501
-183.771, 78.328, 1.693,  1.534
-183.768, 78.271, 1.694,  1.567
-183.765, 78.215, 1.700,  1.600
-183.764, 78.158, 1.707,  1.633
-183.766, 78.101, 1.712,  1.666
-183.765, 78.044, 1.718,  1.699
-183.761, 77.986, 1.718,  1.732
